title,authors
区块链技术的应用前景与挑战：基于信息保真的视角,张晓庆
一种基于TrustZone的硬件密码资源主动发现与安全使用方法,袁露
一种基于TrustZone的硬件密码资源主动发现与安全使用方法,黄辰林
一种基于TrustZone的硬件密码资源主动发现与安全使用方法,李韵
一种基于TrustZone的硬件密码资源主动发现与安全使用方法,程华
从脸书用户个人信息泄露事件谈我国社交媒体用户隐私保护,罗力
大数据下企业竞争情报人员胜任力模型研究,宋新平
大数据下企业竞争情报人员胜任力模型研究,李慧
大数据下企业竞争情报人员胜任力模型研究,熊强
大数据下企业竞争情报人员胜任力模型研究,刘桂锋
工业互联网云平台信息安全关键技术,佟国毓
工业互联网云平台信息安全关键技术,尚文利
工业互联网云平台信息安全关键技术,陈春雨
工业互联网云平台信息安全关键技术,刘贤达
工业互联网云平台信息安全关键技术,尹隆
基于云计算的DaaS服务模式在防通讯骚扰领域的应用研究,杨祥
基于重大活动保障的网络架构改造与网络安全建设综述,谢丰
基于重大活动保障的网络架构改造与网络安全建设综述,孟金
基于重大活动保障的网络架构改造与网络安全建设综述,丁炜
基于重大活动保障的网络架构改造与网络安全建设综述,任兆鹏
计算机网络安全的因素及解决策略分析,邱罗森
非接触新经济网络安全风险治理研究,0
区块链测试技术研究,周鸣爱
把生物安全纳入国家安全体系,赵磊
基于国产密码算法的数控网络的认证与验证模型研究及安全评估,夏晓峰
基于国产密码算法的数控网络的认证与验证模型研究及安全评估,向宏
基于国产密码算法的数控网络的认证与验证模型研究及安全评估,肖震宇
基于国产密码算法的数控网络的认证与验证模型研究及安全评估,蔡挺
面向以太坊的智能合约自动生成方法研究与实现,高一琛
面向以太坊的智能合约自动生成方法研究与实现,赵斌
面向以太坊的智能合约自动生成方法研究与实现,张召
虚拟机逃逸安全研究,范伟
基于特征值的安全密钥交换协议,张艳硕
基于特征值的安全密钥交换协议,王泽豪
基于特征值的安全密钥交换协议,陈辉焱
基于特征值的安全密钥交换协议,王志强
基于Stackelberg安全博弈的动态防御策略选取方法,葛潇月
基于Stackelberg安全博弈的动态防御策略选取方法,周天阳
基于Stackelberg安全博弈的动态防御策略选取方法,臧艺超
基于Stackelberg安全博弈的动态防御策略选取方法,朱俊虎
网络攻击行为的自动封堵与压制系统方案简述,王琪强
网络攻击行为的自动封堵与压制系统方案简述,尚春雷
网络攻击行为的自动封堵与压制系统方案简述,殷正伟
网络攻击行为的自动封堵与压制系统方案简述,杨念祖
“互联网+”高校差旅平台建设探讨,瞿永红
基于符号执行的智能合约漏洞检测方案,赵伟
基于符号执行的智能合约漏洞检测方案,张问银
基于符号执行的智能合约漏洞检测方案,王九如
基于符号执行的智能合约漏洞检测方案,王海峰
基于符号执行的智能合约漏洞检测方案,武传坤
大数据时代互联网安全审计过程建模及其评价研究,刘国城
2019年(第24届)全国广播电视技术能手竞赛一等奖（网络安全专业）获奖选手风采,0
通用自动驾驶技术新进展,李忠东
健康医疗大数据应用中的伦理问题及其治理思考,郭建
从街头盗抢接触性罪案变化看现代犯罪拐点——以广东省惠州市为例,谭迎疆
基于机器学习的SQL攻击检测技术研究,张泽亚
基于机器学习的SQL攻击检测技术研究,翟健宏
平台动态防御演化博弈模型和状态迁移策略,王志屹
平台动态防御演化博弈模型和状态迁移策略,王刚
平台动态防御演化博弈模型和状态迁移策略,陈彤睿
平台动态防御演化博弈模型和状态迁移策略,冯云
平台动态防御演化博弈模型和状态迁移策略,马润年
发展安为先,陈建军
发展安为先,樊小伟
发展安为先,张少军
发展安为先,金雍奥
公安物联网平台建设困境及进路分析——以智慧警务为视角,肖关恒
基于“双创”背景下的绿色金融信息风险与防范体系研究,宁宇
基于“双创”背景下的绿色金融信息风险与防范体系研究,姚梅芳
基于BiLSTM-CRF的涉恐信息实体识别模型研究,黄炜
基于BiLSTM-CRF的涉恐信息实体识别模型研究,黄建桥
基于BiLSTM-CRF的涉恐信息实体识别模型研究,李岳峰
ABC-S：智能网联汽车网络安全分析框架,刘法旺
ABC-S：智能网联汽车网络安全分析框架,杨玚
ABC-S：智能网联汽车网络安全分析框架,李国俊
一种基于拟态防御的差异化反馈调度判决算法,高明
一种基于拟态防御的差异化反馈调度判决算法,罗锦
一种基于拟态防御的差异化反馈调度判决算法,周慧颖
一种基于拟态防御的差异化反馈调度判决算法,焦海
一种基于拟态防御的差异化反馈调度判决算法,应丽莉
区块链在城市治理中的空间与前景,高奇琦
区块链在城市治理中的空间与前景,阙天南
数字普惠金融风险:现实表征与化解进路,何宏庆
基于抽象语法树和XGBoost的jsp＿webshell检测方法研究,茅雨绮
基于抽象语法树和XGBoost的jsp＿webshell检测方法研究,施勇
基于抽象语法树和XGBoost的jsp＿webshell检测方法研究,薛质
社会工程学在网络系统运维中的攻击方法及防范,王明鹏
大安全视角下的网络安全风险与防范,何小平
网约车平台安全战略地图绘制与执行管控,徐波
网约车平台安全战略地图绘制与执行管控,潘旖雯
智能网联汽车信息安全发展趋势分析,0
基于物联网生命周期的安全体系建设分析及实践,刘存
基于物联网生命周期的安全体系建设分析及实践,侯文婷
健康APP用户隐私保护政策调查分析——以《信息安全技术  个人信息安全规范》为框架,付少雄
健康APP用户隐私保护政策调查分析——以《信息安全技术  个人信息安全规范》为框架,赵安琪
面向农产品交易流程的多链式区块链应用技术研究,梁昊
面向农产品交易流程的多链式区块链应用技术研究,刘思辰
面向农产品交易流程的多链式区块链应用技术研究,张一诺
面向农产品交易流程的多链式区块链应用技术研究,吕科
我国灾害防治体系的“效能黑洞”及其治理,李尧远
我国灾害防治体系的“效能黑洞”及其治理,王国桥
基于威胁情报技术的软件恶意行为分析模型,肖治华
基于威胁情报技术的软件恶意行为分析模型,杨杉
基于威胁情报技术的软件恶意行为分析模型,张成
基于威胁情报技术的软件恶意行为分析模型,邓国如
数据安全犯罪的迭代异化与刑法规制路径——以刑事合规计划的引入为视角,于冲
OTN系统安全防护和加密技术应用研究,沈利泉
OTN系统安全防护和加密技术应用研究,刘军
电动汽车充电桩CAN总线协议的安全检测,徐江珮
电动汽车充电桩CAN总线协议的安全检测,王晋
电动汽车充电桩CAN总线协议的安全检测,刘畅
电动汽车充电桩CAN总线协议的安全检测,周亮
电动汽车充电桩CAN总线协议的安全检测,龙凤
计算机安全技术在电子商务交易中的应用,王刚
计算机安全技术在电子商务交易中的应用,杨宁
计算机安全技术在电子商务交易中的应用,余晓娜
人工智能侵权责任主体论,兰美海
区块链技术下数字版权保护的机遇、挑战与发展路径,赖利娜
区块链技术下数字版权保护的机遇、挑战与发展路径,李永明
一种基于生长曲线的系统漏洞发现预测模型,唐成华
一种基于生长曲线的系统漏洞发现预测模型,潘然
一种基于生长曲线的系统漏洞发现预测模型,李海东
一种基于生长曲线的系统漏洞发现预测模型,强保华
移动阅读APP用户个人信息安全研究——基于10款移动阅读APP的调查分析,李宁
移动阅读APP用户个人信息安全研究——基于10款移动阅读APP的调查分析,李卫东
网络强国背景下领导干部网络执政能力建设研究,邓顺平
网络强国背景下领导干部网络执政能力建设研究,凌学武
物联网安全威胁及关键技术研究,曹蓉蓉
物联网安全威胁及关键技术研究,韩全惜
威胁驱动的网络安全防护模型及应用研究,兰昆
威胁驱动的网络安全防护模型及应用研究,喻显茂
威胁驱动的网络安全防护模型及应用研究,唐林
指挥信息系统应用层攻击效能模糊综合评估方法,黄迎春
指挥信息系统应用层攻击效能模糊综合评估方法,牟鑫明
基于根因分析法的大数据企业个人信息泄露案例研究,刘姣姣
基于根因分析法的大数据企业个人信息泄露案例研究,毛子骏
基于根因分析法的大数据企业个人信息泄露案例研究,徐晓林
创新物联网OS安全应对IoT风险,潘爱民
基于内存访问轨迹的程序脆弱性检测,彭双和
基于内存访问轨迹的程序脆弱性检测,韩静
软件定义网络在提升企业内网安全性中的应用,张江刘星程王世玱谢敬锐代文磊
软件定义网络在提升企业内网安全性中的应用,00
论区块链技术的价值取向,梅晓丽
高校信息与网络安全面临的威胁与对策,李俊磊
底线式科技安全治理体系构建研究,陈劲
底线式科技安全治理体系构建研究,朱子钦
底线式科技安全治理体系构建研究,季与点
底线式科技安全治理体系构建研究,梅亮
基于遗传算法的Android系统服务漏洞挖掘,张志威
基于遗传算法的Android系统服务漏洞挖掘,甘刚
一种分层无线传感网的匿名双因素用户认证协议,房卫东
一种分层无线传感网的匿名双因素用户认证协议,张武雄
一种分层无线传感网的匿名双因素用户认证协议,潘涛
一种分层无线传感网的匿名双因素用户认证协议,高智伟
一种分层无线传感网的匿名双因素用户认证协议,倪业鹏
国外动态,0
大规模空调负荷在恶意控制下的配电网风险分析,严康
大规模空调负荷在恶意控制下的配电网风险分析,刘蓓
大规模空调负荷在恶意控制下的配电网风险分析,刘绚
大规模空调负荷在恶意控制下的配电网风险分析,陆艺丹
大规模空调负荷在恶意控制下的配电网风险分析,于宗超
区块链安全综述,张杰
一种基于知识图谱的扩展攻击图生成方法,叶子维
一种基于知识图谱的扩展攻击图生成方法,郭渊博
一种基于知识图谱的扩展攻击图生成方法,李涛
一种基于知识图谱的扩展攻击图生成方法,琚安康
信息网络内生恶意行为检测框架,涂哲
信息网络内生恶意行为检测框架,周华春
信息网络内生恶意行为检测框架,李坤
信息网络内生恶意行为检测框架,王玮琳
一种防范TLS协议降级攻击的浏览器安全模型,张兴隆
一种防范TLS协议降级攻击的浏览器安全模型,李钰汀
一种防范TLS协议降级攻击的浏览器安全模型,程庆丰
一种防范TLS协议降级攻击的浏览器安全模型,郭路路
融合对抗主动学习的网络安全知识三元组抽取,李涛
融合对抗主动学习的网络安全知识三元组抽取,郭渊博
融合对抗主动学习的网络安全知识三元组抽取,琚安康
区块链研究综述,曹傧
区块链研究综述,林亮
区块链研究综述,李云
区块链研究综述,刘永相
区块链研究综述,熊炜
区块链研究综述,高峰
区块链技术研究综述：原理、进展与应用,曾诗钦
区块链技术研究综述：原理、进展与应用,霍如
区块链技术研究综述：原理、进展与应用,黄韬
区块链技术研究综述：原理、进展与应用,刘江
区块链技术研究综述：原理、进展与应用,汪硕
区块链技术研究综述：原理、进展与应用,冯伟
西方修辞视角下中国在国际论坛中的外交论辩策略探究,范祖承
算法透明原则的迷思——算法规制理论的批判,沈伟伟
基于PSO的路牌识别模型黑盒对抗攻击方法,陈晋音
基于PSO的路牌识别模型黑盒对抗攻击方法,陈治清
基于PSO的路牌识别模型黑盒对抗攻击方法,郑海斌
基于PSO的路牌识别模型黑盒对抗攻击方法,沈诗婧
基于PSO的路牌识别模型黑盒对抗攻击方法,苏蒙蒙
重视智能网联汽车产业发展与安全共振,0
商用密码应用体系建设与创新发展,霍炜
企业信息安全法律治理,张敏
企业信息安全法律治理,马民虎
基于模型学习的OpenVPN系统脆弱性分析,申莹珠
基于模型学习的OpenVPN系统脆弱性分析,顾纯祥
基于模型学习的OpenVPN系统脆弱性分析,陈熹
基于模型学习的OpenVPN系统脆弱性分析,张协力
基于模型学习的OpenVPN系统脆弱性分析,卢政宇
一种基于预警信息的漏洞自动化快速防护方法,徐其望
一种基于预警信息的漏洞自动化快速防护方法,陈震杭
一种基于预警信息的漏洞自动化快速防护方法,彭国军
一种基于预警信息的漏洞自动化快速防护方法,张焕国
轩辕:AI原生数据库系统,李国良
轩辕:AI原生数据库系统,周煊赫
习性、迟滞与网络空间治理困境,毕晟
基于SimHash算法的SQL注入攻击检测方法,孔德广
基于SimHash算法的SQL注入攻击检测方法,蒋朝惠
基于SimHash算法的SQL注入攻击检测方法,郭春
基于非零和随机博弈的APT攻击主动防御策略选取,李静轩
基于非零和随机博弈的APT攻击主动防御策略选取,朱俊虎
基于非零和随机博弈的APT攻击主动防御策略选取,邱菡
基于非零和随机博弈的APT攻击主动防御策略选取,郭伟
基于改进AHP算法的移动安全支付风险评估模型,陈晓伟
基于群体智能技术的漏洞挖掘机理研究,韩烨
基于群体智能技术的漏洞挖掘机理研究,周利均
感染非洲猪瘟养殖场恢复生产技术指南,0
互联网数据传输协议QUIC研究综述,李学兵
互联网数据传输协议QUIC研究综述,陈阳
互联网数据传输协议QUIC研究综述,周孟莹
互联网数据传输协议QUIC研究综述,王新
区块链技术在财务领域的应用探析,薛静
区块链技术在财务领域的应用探析,洪舒桐
智能合约对合同法制度的挑战及对策,张颖
智能合约对合同法制度的挑战及对策,吴文心
基于大数据安全保障的云安全体系研究,胡国华
基于大数据安全保障的云安全体系研究,孟承韵
基于大数据安全保障的云安全体系研究,代志兵
基于大数据安全保障的云安全体系研究,孙彬
基于大数据安全保障的云安全体系研究,刘振凯
基于大数据安全保障的云安全体系研究,俞海波
基于大数据安全保障的云安全体系研究,李斌
基于大数据安全保障的云安全体系研究,何维群
基于大数据安全保障的云安全体系研究,张智奇
大数据时代隐私协议中个人信息的保护进路——以互联网分层为视角,李鑫
“互联网+”形势下电力信息物理融合发展研究综述与展望,王东芳
“互联网+”形势下电力信息物理融合发展研究综述与展望,刘水源
“互联网+”形势下电力信息物理融合发展研究综述与展望,张勇军
“互联网+”形势下电力信息物理融合发展研究综述与展望,宋旭东
“互联网+”形势下电力信息物理融合发展研究综述与展望,林晓明
“互联网+”形势下电力信息物理融合发展研究综述与展望,陈家超
SQL注入行为实时在线智能检测技术研究,李铭
SQL注入行为实时在线智能检测技术研究,邢光升
SQL注入行为实时在线智能检测技术研究,王芝辉
SQL注入行为实时在线智能检测技术研究,王晓东
基于PSO的路牌识别模型黑盒对抗攻击方法,陈晋音
基于PSO的路牌识别模型黑盒对抗攻击方法,陈治清
基于PSO的路牌识别模型黑盒对抗攻击方法,郑海斌
基于PSO的路牌识别模型黑盒对抗攻击方法,沈诗婧
基于PSO的路牌识别模型黑盒对抗攻击方法,苏蒙蒙
重视智能网联汽车产业发展与安全共振,0
商用密码应用体系建设与创新发展,霍炜
企业信息安全法律治理,张敏
企业信息安全法律治理,马民虎
基于模型学习的OpenVPN系统脆弱性分析,申莹珠
基于模型学习的OpenVPN系统脆弱性分析,顾纯祥
基于模型学习的OpenVPN系统脆弱性分析,陈熹
基于模型学习的OpenVPN系统脆弱性分析,张协力
基于模型学习的OpenVPN系统脆弱性分析,卢政宇
一种基于预警信息的漏洞自动化快速防护方法,徐其望
一种基于预警信息的漏洞自动化快速防护方法,陈震杭
一种基于预警信息的漏洞自动化快速防护方法,彭国军
一种基于预警信息的漏洞自动化快速防护方法,张焕国
轩辕:AI原生数据库系统,李国良
轩辕:AI原生数据库系统,周煊赫
习性、迟滞与网络空间治理困境,毕晟
基于SimHash算法的SQL注入攻击检测方法,孔德广
基于SimHash算法的SQL注入攻击检测方法,蒋朝惠
基于SimHash算法的SQL注入攻击检测方法,郭春
基于非零和随机博弈的APT攻击主动防御策略选取,李静轩
基于非零和随机博弈的APT攻击主动防御策略选取,朱俊虎
基于非零和随机博弈的APT攻击主动防御策略选取,邱菡
基于非零和随机博弈的APT攻击主动防御策略选取,郭伟
基于改进AHP算法的移动安全支付风险评估模型,陈晓伟
基于群体智能技术的漏洞挖掘机理研究,韩烨
基于群体智能技术的漏洞挖掘机理研究,周利均
感染非洲猪瘟养殖场恢复生产技术指南,0
互联网数据传输协议QUIC研究综述,李学兵
互联网数据传输协议QUIC研究综述,陈阳
互联网数据传输协议QUIC研究综述,周孟莹
互联网数据传输协议QUIC研究综述,王新
区块链技术在财务领域的应用探析,薛静
区块链技术在财务领域的应用探析,洪舒桐
智能合约对合同法制度的挑战及对策,张颖
智能合约对合同法制度的挑战及对策,吴文心
基于大数据安全保障的云安全体系研究,胡国华
基于大数据安全保障的云安全体系研究,孟承韵
基于大数据安全保障的云安全体系研究,代志兵
基于大数据安全保障的云安全体系研究,孙彬
基于大数据安全保障的云安全体系研究,刘振凯
基于大数据安全保障的云安全体系研究,俞海波
基于大数据安全保障的云安全体系研究,李斌
基于大数据安全保障的云安全体系研究,何维群
基于大数据安全保障的云安全体系研究,张智奇
大数据时代隐私协议中个人信息的保护进路——以互联网分层为视角,李鑫
“互联网+”形势下电力信息物理融合发展研究综述与展望,王东芳
“互联网+”形势下电力信息物理融合发展研究综述与展望,刘水源
“互联网+”形势下电力信息物理融合发展研究综述与展望,张勇军
“互联网+”形势下电力信息物理融合发展研究综述与展望,宋旭东
“互联网+”形势下电力信息物理融合发展研究综述与展望,林晓明
“互联网+”形势下电力信息物理融合发展研究综述与展望,陈家超
SQL注入行为实时在线智能检测技术研究,李铭
SQL注入行为实时在线智能检测技术研究,邢光升
SQL注入行为实时在线智能检测技术研究,王芝辉
SQL注入行为实时在线智能检测技术研究,王晓东
基于区块链的重大突发疫情防控系统共识机制探析,史磊
基于区块链的重大突发疫情防控系统共识机制探析,李林峰
大数据安全技术研究进展,陈性元
大数据安全技术研究进展,高元照
大数据安全技术研究进展,唐慧林
大数据安全技术研究进展,杜学绘
无线传感器网络中公钥机制研究综述,何炎祥
无线传感器网络中公钥机制研究综述,孙发军
无线传感器网络中公钥机制研究综述,李清安
无线传感器网络中公钥机制研究综述,何静
无线传感器网络中公钥机制研究综述,汪吕蒙
移动平台典型应用的身份认证问题研究,张效林
移动平台典型应用的身份认证问题研究,谷大武
移动平台典型应用的身份认证问题研究,张驰
智能船舶法律规制的困境与突破,蔡莉妍
《信息安全研究》2020年（第6卷）总目次,0
信息不对称下医药营销服务外包契约设计,高杰
信息不对称下医药营销服务外包契约设计,樊慧荣
信息不对称下医药营销服务外包契约设计,李萧萧
知识、探索与状态平面组织的软件漏洞分析架构研究,袁子牧
知识、探索与状态平面组织的软件漏洞分析架构研究,肖扬
知识、探索与状态平面组织的软件漏洞分析架构研究,吴炜
知识、探索与状态平面组织的软件漏洞分析架构研究,霍玮
知识、探索与状态平面组织的软件漏洞分析架构研究,邹维
《计算机研究与发展》2019年(第56卷)总目次,0
基于代码属性图及注意力双向LSTM的漏洞挖掘方法,段旭
基于代码属性图及注意力双向LSTM的漏洞挖掘方法,吴敬征
基于代码属性图及注意力双向LSTM的漏洞挖掘方法,罗天悦
基于代码属性图及注意力双向LSTM的漏洞挖掘方法,杨牧天
基于代码属性图及注意力双向LSTM的漏洞挖掘方法,武延军
网络社会司法治理的实践探索与前景展望,李占国
计算机管理信息系统安全与应对策略研究,陈航
从安全与发展视角看网络决策历程,武萌
从安全与发展视角看网络决策历程,王虎
 ,0
人工智能的伦理与法律风险问题研究,倪斌
高职院校网络安全变化趋势与对策研究,贾鹏
高职院校网络安全变化趋势与对策研究,赵学思
高职院校网络安全变化趋势与对策研究,王磊
高职院校网络安全变化趋势与对策研究,秦鹏翔
复旦大学  新型信息资产治理平台为二级单位安全赋能,徐艺扬
复旦大学  新型信息资产治理平台为二级单位安全赋能,查德平
复旦大学  新型信息资产治理平台为二级单位安全赋能,刘百祥
复旦大学  新型信息资产治理平台为二级单位安全赋能,王亮
新时期下职业院校数字化校园安全隐患及应对策略,吕庚
如何降低PHP远程代码执行漏洞攻击风险？,郑先伟
计算机网络安全在大数据系统的应用,王志华
基于区块链的重大突发疫情防控系统共识机制探析,史磊
基于区块链的重大突发疫情防控系统共识机制探析,李林峰
大数据安全技术研究进展,陈性元
大数据安全技术研究进展,高元照
大数据安全技术研究进展,唐慧林
大数据安全技术研究进展,杜学绘
无线传感器网络中公钥机制研究综述,何炎祥
无线传感器网络中公钥机制研究综述,孙发军
无线传感器网络中公钥机制研究综述,李清安
无线传感器网络中公钥机制研究综述,何静
无线传感器网络中公钥机制研究综述,汪吕蒙
移动平台典型应用的身份认证问题研究,张效林
移动平台典型应用的身份认证问题研究,谷大武
移动平台典型应用的身份认证问题研究,张驰
智能船舶法律规制的困境与突破,蔡莉妍
《信息安全研究》2020年（第6卷）总目次,0
信息不对称下医药营销服务外包契约设计,高杰
信息不对称下医药营销服务外包契约设计,樊慧荣
信息不对称下医药营销服务外包契约设计,李萧萧
知识、探索与状态平面组织的软件漏洞分析架构研究,袁子牧
知识、探索与状态平面组织的软件漏洞分析架构研究,肖扬
知识、探索与状态平面组织的软件漏洞分析架构研究,吴炜
知识、探索与状态平面组织的软件漏洞分析架构研究,霍玮
知识、探索与状态平面组织的软件漏洞分析架构研究,邹维
《计算机研究与发展》2019年(第56卷)总目次,0
基于代码属性图及注意力双向LSTM的漏洞挖掘方法,段旭
基于代码属性图及注意力双向LSTM的漏洞挖掘方法,吴敬征
基于代码属性图及注意力双向LSTM的漏洞挖掘方法,罗天悦
基于代码属性图及注意力双向LSTM的漏洞挖掘方法,杨牧天
基于代码属性图及注意力双向LSTM的漏洞挖掘方法,武延军
网络社会司法治理的实践探索与前景展望,李占国
计算机管理信息系统安全与应对策略研究,陈航
从安全与发展视角看网络决策历程,武萌
从安全与发展视角看网络决策历程,王虎
基于云计算的网络安全考核平台的研究,彭访
基于云计算的网络安全考核平台的研究,郭啸东
基于云计算的网络安全考核平台的研究,王芳
基于云计算的网络安全考核平台的研究,龙鑫
人工智能的伦理与法律风险问题研究,倪斌
 ,倪斌
复旦大学  新型信息资产治理平台为二级单位安全赋能,徐艺扬
复旦大学  新型信息资产治理平台为二级单位安全赋能,查德平
复旦大学  新型信息资产治理平台为二级单位安全赋能,刘百祥
复旦大学  新型信息资产治理平台为二级单位安全赋能,王亮
新时期下职业院校数字化校园安全隐患及应对策略,吕庚
如何降低PHP远程代码执行漏洞攻击风险？,郑先伟
计算机网络安全在大数据系统的应用,王志华
 ,0
Oracle分布式数据库系统及网络安全策略探究,王冰冰
Oracle分布式数据库系统及网络安全策略探究,彭海楼
探讨寄宿制民族小学安全管理策略,周海玲
局域网终端监控管理系统设计与开发研究,冯乔春
浅谈智能时代下金融行业的发展影响,孟峻辉
浅谈智能时代下金融行业的发展影响,张歆辰
基于风险防范管理的集团资金管理思考,邵伯文
一枚蛋的阴谋,冉浩
浅谈园林类博物馆安全防范——以可园博物馆为例,尹志明
汇聚起决战决胜的强大信心和力量——特殊时期的全国两会,0
校园网VPN服务面临安全挑战,郑先伟
基于新时期计算机网络安全面临的威胁及防范措施,申海元
计算机网络安全中的防火墙技术应用研究,郭伟
计算机信息管理技术在网络安全中的有效应用,杨政成
如何构筑好校园安全防控体系——以甘肃省保育院为例,魏怀基
一枚蛋的阴谋,冉浩
网络安全与智能家居十妙招,瑞安·杰克逊
网络安全与智能家居十妙招,杨晓斌
个人信息侵权救济规则的不足与完善路径——基于111个案例的实证分析,许素敏
浅析高等学校学籍管理成绩单的发展历程——由高等学校学籍信息“云管理”引发的思考,虞李娜
Ripple20漏洞曝光：警惕物联网安全风暴,郑先伟
计算机网络安全技术与防范措施初探,魏晋荣
黑客访问了近三千万脸书用户的个人信息,卢俊名
开展项目式学习，建构信息技术高效课堂,王海平
浅析高校教务管理系统中的数据库安全问题,黄晓鑫
高职实训室安全管理体系构建,麦其蓉
同济大学:漏洞闭环管理降低信息系统风险,林伟栋
同济大学:漏洞闭环管理降低信息系统风险,秦道祥
宝塔服务器运维面板曝严重漏洞,郑先伟
大数据时代面临的信息安全机遇与挑战,刘子赫
大数据时代面临的信息安全机遇与挑战,李宛宣
大数据时代面临的信息安全机遇与挑战,李文博
大数据时代面临的信息安全机遇与挑战,付爽
大数据时代面临的信息安全机遇与挑战,李晓闻
国际,0
高校计算机网络安全体系构建,唐增明
基于PSR模型的中国广告产业智能化转型研究,姜智彬
基于PSR模型的中国广告产业智能化转型研究,郭钦颖
汽车业的“肖申克救赎”,朱琳
新时代图书馆网络信息安全应对策略,张健生
公共图书馆业务社会化研究,刘洋
我国个人信息出境法律规制比较研究,赵香如
计算机网络数据库的安全管理技术研究,宋龙虎
信息化背景下高校校园网络信息安全问题探究,刘磊
网络经济时代下的财务会计管理研究,濮飞燕
行政事业单位会计信息化建设的探讨,王姝
基于应用层漏洞的安卓应用防护技术,王硕锋
计算机网络通信安全中数据加密技术的应用,官亚芬
人工智能攻击：人工智能安全漏洞以及应对策略,马库斯·康米特
人工智能攻击：人工智能安全漏洞以及应对策略,黄紫斐
智能合约安全漏洞挖掘技术研究,付梦琳
智能合约安全漏洞挖掘技术研究,吴礼发
智能合约安全漏洞挖掘技术研究,洪征
智能合约安全漏洞挖掘技术研究,冯文博
基于安全环的一站式Web应用安全防范研究,陈英杰
基于安全环的一站式Web应用安全防范研究,李世武
 ,陈英杰
 ,李世武
风险漏洞  处处小心,0
工信部通报信息通信行业网络安全监管情况:1季度共处置网络安全威胁967万余个,0
人工智能的公共安全问题与对策,丁晴
智能合约中的安全与隐私保护技术,王化群
智能合约中的安全与隐私保护技术,张帆
智能合约中的安全与隐私保护技术,李甜
智能合约中的安全与隐私保护技术,高梦婕
智能合约中的安全与隐私保护技术,杜心雨
火电厂DCS系统网络安全防护,张相东
高校网络安全现状及对策分析,宋瑶
高校网络安全现状及对策分析,朱坤
数字,0
2018年12月十大重要安全漏洞分析,0
2019年2月十大重要安全漏洞分析,0
信息化管理视角下校园网络信息安全问题阐述,吴长虹
对通信网络信息系统的安全防护技术的研究,冷静
大数据时代计算机网络技术中人工智能的应用分析,王瑞芳
数字,0
高校网站建设安全问题分析及应对策略分析,杨萌
信息技术在供电企业安全管理中的应用,黄贵晴
浅谈ICT产品供应链中的安全检测方法,李璐
浅谈ICT产品供应链中的安全检测方法,许欣
浅谈ICT产品供应链中的安全检测方法,周承敏
浅谈ICT产品供应链中的安全检测方法,蒋皓
人工智能攻击：人工智能安全漏洞以及应对策略,马库斯·康米特
人工智能攻击：人工智能安全漏洞以及应对策略,黄紫斐
智能合约安全漏洞挖掘技术研究,付梦琳
智能合约安全漏洞挖掘技术研究,吴礼发
智能合约安全漏洞挖掘技术研究,洪征
智能合约安全漏洞挖掘技术研究,冯文博
基于安全环的一站式Web应用安全防范研究,陈英杰
基于安全环的一站式Web应用安全防范研究,李世武
关于计算机网络信息安全及防护策略研究,高木旺
风险漏洞  处处小心,0
工信部通报信息通信行业网络安全监管情况:1季度共处置网络安全威胁967万余个,0
人工智能的公共安全问题与对策,丁晴
智能合约中的安全与隐私保护技术,王化群
智能合约中的安全与隐私保护技术,张帆
智能合约中的安全与隐私保护技术,李甜
智能合约中的安全与隐私保护技术,高梦婕
智能合约中的安全与隐私保护技术,杜心雨
火电厂DCS系统网络安全防护,张相东
高校网络安全现状及对策分析,宋瑶
高校网络安全现状及对策分析,朱坤
数字,0
2018年12月十大重要安全漏洞分析,0
2019年2月十大重要安全漏洞分析,0
信息化管理视角下校园网络信息安全问题阐述,吴长虹
对通信网络信息系统的安全防护技术的研究,冷静
大数据时代计算机网络技术中人工智能的应用分析,王瑞芳
数字,0
高校网站建设安全问题分析及应对策略分析,杨萌
信息技术在供电企业安全管理中的应用,黄贵晴
浅谈ICT产品供应链中的安全检测方法,李璐
浅谈ICT产品供应链中的安全检测方法,许欣
浅谈ICT产品供应链中的安全检测方法,周承敏
浅谈ICT产品供应链中的安全检测方法,蒋皓
高校网络安全存在的问题及对策研究,刘刚
大数据时代背景下计算机网络安全防范应用与运行,刘雷
大数据时代背景下计算机网络安全防范应用与运行,董超
计算机的信息安全风险及对策,张雯
Android系统外部SDK安全漏洞检测研究,马杰
数字,0
信息化背景下会计审计的诚信问题分析,韩玉峰
绿盟科技五大安全实验室在京正式发布,0
2019上半年网络安全回顾,0
国家信息安全测评公告(2019年第5号),0
大数据时代高校网络思想政治教育安全风险及其防范,刘绪平
大数据时代高校网络思想政治教育安全风险及其防范,叶进
大数据时代高校网络思想政治教育安全风险及其防范,孔德瑞
图书馆计算机网络系统安全分析及对策研究,罗晓华
 ,罗晓华
计算机安全管理及其在现代通信中的运用解析,蒋巍
刍议计算机软件测试方法及应用实践,张赟
数字,0
基于渗透测试的政协提案系统漏洞测试与防范,刘颖
基于渗透测试的政协提案系统漏洞测试与防范,吴振东
浅析校园网络安全问题的分析和对策,汪洋
基于相位编码的诱骗态量子密钥分发系统的优化,于波
基于相位编码的诱骗态量子密钥分发系统的优化,张青梅
基于相位编码的诱骗态量子密钥分发系统的优化,丁伟杰
